start_station_name,end_station_name,number_of_trips
Streeter Dr & Grand Ave,Streeter Dr & Grand Ave,10141
DuSable Lake Shore Dr & Monroe St,DuSable Lake Shore Dr & Monroe St,6357
DuSable Lake Shore Dr & Monroe St,Streeter Dr & Grand Ave,5100
Michigan Ave & Oak St,Michigan Ave & Oak St,4416
Millennium Park,Millennium Park,3862
Streeter Dr & Grand Ave,DuSable Lake Shore Dr & Monroe St,2854
Montrose Harbor,Montrose Harbor,2854
Streeter Dr & Grand Ave,Millennium Park,2735
Shedd Aquarium,Streeter Dr & Grand Ave,2397
Millennium Park,Streeter Dr & Grand Ave,2390
Streeter Dr & Grand Ave,Michigan Ave & Oak St,2360
Shedd Aquarium,Shedd Aquarium,2331
Dusable Harbor,Dusable Harbor,2296
DuSable Lake Shore Dr & North Blvd,DuSable Lake Shore Dr & North Blvd,2255
Streeter Dr & Grand Ave,DuSable Lake Shore Dr & North Blvd,2194
Theater on the Lake,Theater on the Lake,2149
Indiana Ave & Roosevelt Rd,Indiana Ave & Roosevelt Rd,1865
Dusable Harbor,Streeter Dr & Grand Ave,1830
DuSable Lake Shore Dr & North Blvd,Streeter Dr & Grand Ave,1807
Michigan Ave & Oak St,Streeter Dr & Grand Ave,1794
